bodyType,brand,car_url,color,complectation_dict,description,engineDisplacement,enginePower,equipment_dict,fuelType,image,mileage,modelDate,model_info,model_name,name,numberOfDoors,parsing_unixtime,price,priceCurrency,productionDate,sell_id,super_gen,vehicleConfiguration,vehicleTransmission,vendor,Владельцы,Владение,ПТС,Привод,Руль,Состояние,Таможня
седан,HONDA,https://auto.ru/cars/used/sale/honda/civic/1101776239-b86b937c/,красный,"{""id"":""0""}","Технически исправен, сел-поехал... 
Винтовая подвеска, сигнализация с автозапуском (пандора), музыка с блютуз и хэндсфри... 
Авто так же подойдёт начинающим водителям, хороший обзор и управляемость...
Не Солярис и не Приора, кто в теме, тот поймёт...
Золотые колёса не продаются....",1.5 LTR,90 N12,{},бензин,https://avatars.mds.yandex.net/get-autoru-vos/4441840/3a9da0f9f0367fa09740e05dd175bde2/320x240,:356000,1987.0,"{""code"":""CIVIC"",""name"":""Civic"",""ru_name"":""Цивик"",""morphology"":{}",CIVIC,1.5 AT (90 л.с.),4.0,1607849939.0,270000.0,RUB,1991,1101776239,"{""id"":""3483480"",""name"":""IV"",""ru_name"":""4"",""year_from"":1987,""year_to"":1996,""price_segment"":""MEDIUM""}",SEDAN AUTOMATIC 1.5,автоматическая,JAPANESE,1 владелец,,Дубликат,передний,Левый,Не требует ремонта,Растаможен
внедорожник 3 дв.,HONDA,https://auto.ru/cars/used/sale/honda/hr_v/1101732588-1b400691/,синий,"{""id"":""0""}",Продаю. В отличном состоянии. Все работает и переключается. Все вопросы по телефону. Торг у капота. ,1.6 LTR,105 N12,{},бензин,https://avatars.mds.yandex.net/get-autoru-vos/2128077/8c3845cf50283dda60a3b4684e395df4/320x240,:160000,2001.0,"{""code"":""HR_V"",""name"":""HR-V"",""ru_name"":""HR-V"",""morphology"":{""gender"":""FEMININE""}",HR_V,1.6 CVT (105 л.с.) 4WD,3.0,1607849940.0,275000.0,RUB,2001,1101732588,"{""id"":""4927739"",""name"":""I Рестайлинг"",""ru_name"":""1 Рестайлинг"",""year_from"":2001,""year_to"":2006,""price_segment"":""MEDIUM""}",ALLROAD_3_DOORS VARIATOR 1.6,вариатор,JAPANESE,2 владельца,,Оригинал,полный,Левый,Не требует ремонта,Растаможен
купе,HONDA,https://auto.ru/cars/used/sale/honda/integra/1101653876-933e6908/,серый,"{""id"":""0""}","Продаю автомобиль в хорошем состоянии, лето 17 , зима 15 литьё, салон ухоженный, внешнее состояние хорошее, есть незначительные недочёты которые легко убрать, самому нет времени заниматься т.к. родился ребенок это и причина продажи. В придачу отдам крышку багажника со спойлером. Недавно был заменён двигатель и АКПП с пробегом 60тыс, документы имеются. По факту 3 владельца т.к. переоформлялась на жену Торг минимальный",2.0 LTR,160 N12,"{""gbo"":true}",бензин,https://avatars.mds.yandex.net/get-autoru-vos/2072159/ac11ea634150e5afdd8443828997abd0/320x240,:250000,2001.0,"{""code"":""INTEGRA"",""name"":""Integra"",""ru_name"":""Интегра"",""morphology"":{""gender"":""FEMININE""}",INTEGRA,2.0 AT (160 л.с.),2.0,1607849941.0,325000.0,RUB,2002,1101653876,"{""id"":""6312661"",""name"":""IV"",""ru_name"":""4"",""year_from"":2001,""year_to"":2004,""price_segment"":""MEDIUM""}",COUPE AUTOMATIC 2.0,автоматическая,JAPANESE,3 или более,,Оригинал,передний,Правый,Не требует ремонта,Растаможен
седан,HONDA,https://auto.ru/cars/used/sale/honda/civic/1101758164-1b5608f2/,золотистый,"{""id"":""0""}","НЕЗАВИСИМОСТЬ АВТО - это гарантия покупки отличного автомобиля!

ПРИ ПОКУПКЕ с 9:00 до 14:00 ДЕЙСТВУЕТ СКИДКА - 20 000 руб.

Мы на рынке более 15 лет.

АВТОКРЕДИТ в нашем центре - это выгода до 30 000 рублей на каждый автомобиль.

- Специальные предложения по кредитованию и страхованию
- Процентные ставки от 4% годовых
- Первоначальный взнос от 0%
- Оформление кредита по двум документам
- Более 200 кредитных программ
- Оформление автокредита за 1 час
- КАСКО не обязательно
- Круглосуточная техническая поддержка с бесплатным эвакуатором.

АВТОМОБИЛЬ обслуживался у Официального дилера, в отличном техническом и внешнем состоянии, полностью исправен и готов к дальнейшей эксплуатации.

- Работа ДВС, КПП и ходовой без отклонений.
- Лакокрасочное покрытие по кузову без повреждений.
- Салон чистый и ухоженный
- Ключи и полный комплект документов.

ГАРАНТИЯ - купив автомобиль у нас, вы получаете гарантию на КПП и Двигатель, сроком на 1 год.*

Приглашаем на бесплатный тест-драйв!",1.8 LTR,140 N12,"{""cruise-control"":true,""asr"":true,""tinted-glass"":true,""esp"":true,""airbag-driver"":true,""usb"":true,""aux"":true,""isofix"":true,""electro-window-front"":true,""multi-wheel"":true,""audiosystem-tv"":true,""airbag-passenger"":true,""front-centre-armrest"":true,""navigation"":true,""computer"":true,""wheel-power"":true,""alarm"":true,""lock"":true,""electro-mirrors"":true,""electro-window-back"":true,""alloy-wheel-disks"":true,""feedback-alarm"":true,""16-inch-wheels"":true,""driver-seat-support"":true,""ptf"":true,""airbag-side"":true,""mirrors-heat"":true,""remote-engine-start"":true,""dark-interior"":true,""audiosystem-cd"":true,""driver-seat-updown"":true,""velvet-seats"":true,""abs"":true,""front-seats-heat"":true,""wheel-leather"":true,""wheel-configuration2"":true,""wheel-configuration1"":true,""immo"":true,""climate-control-1"":true,""auto-mirrors"":true,""12v-socket"":true}",бензин,https://avatars.mds.yandex.net/get-autoru-vos/3922519/fb7ac2ba02614c2636c639c0adff407e/320x240,:136332,2005.0,"{""code"":""CIVIC"",""name"":""Civic"",""ru_name"":""Цивик"",""morphology"":{}",CIVIC,1.8 AT (140 л.с.),4.0,1607849942.0,420000.0,RUB,2008,1101758164,"{""id"":""2306765"",""name"":""VIII"",""ru_name"":""8"",""year_from"":2005,""year_to"":2008,""price_segment"":""MEDIUM""}",SEDAN AUTOMATIC 1.8,автоматическая,JAPANESE,3 или более,,Оригинал,передний,Левый,Не требует ремонта,Растаможен
внедорожник 5 дв.,HONDA,https://auto.ru/cars/used/sale/honda/element/1101146022-0f609e65/,синий,"{""id"":""0""}","Объявление № 404

• Продаётся отличный автомобиль.
• Автомобиль в идеальном состояние
• Вложений никаких не требует
• Успешно прошел техническую диагностику
• Успешно прошел компьютерную диагностику
• Своевременное обслуживание и пройдены все ТО.
• Автомобиль прошел полную предпродажную подготовку и готов к следующей эксплуатации.
• Будьте уверены при покупке автомобиля в «MITINO-CARS» мы даем;
• Гарантия юридической чистоты и безопасность сделки;
• При покупке автомобиля по программе Trade-In (обмен на ваш автомобиль) дополнительная скидка до 30 000 рублей.

ПРЕИМУЩЕСТВА КРЕДИТОВАНИЯ:

• Специальная скидка при покупке первый платеж в подарок в течение этого месяца(более 25 ведущих Банков-партнеров);
• Низкая ставка от 6,9 % годовых;
• Первоначальный взнос от 0%;
• Оформление по двум документам (паспорту и водительскому удостоверению)
• Срок кредита от 6 месяцев до 7 лет;
• Без оформление Каско.

ПРИ ПОКУПКИ АВТОМОБИЛЯ КАЖДЫЙ ПОКУПАТЕЛЬ ПОЛУЧАЕТ В ПОДАРОК:

•Комплект зимних шин в подарок.
Скрыть подробности",2.4 LTR,162 N12,"{""tinted-glass"":true,""esp"":true,""airbag-driver"":true,""usb"":true,""aux"":true,""roller-blinds-for-rear-side-windows"":true,""electro-window-front"":true,""spare-wheel"":true,""audiosystem-tv"":true,""passenger-seat-updown"":true,""airbag-passenger"":true,""front-centre-armrest"":true,""computer"":true,""high-beam-assist"":true,""seat-transformation"":true,""wheel-power"":true,""alarm"":true,""lock"":true,""driver-seat-electric"":true,""electro-mirrors"":true,""drl"":true,""airbag-rear-side"":true,""electro-window-back"":true,""alloy-wheel-disks"":true,""ptf"":true,""16-inch-wheels"":true,""airbag-side"":true,""hatch"":true,""turnbuckle"":true,""folding-front-passenger-seat"":true,""combo-interior"":true,""leather"":true,""condition"":true,""led-lights"":true,""power-child-locks-rear-doors"":true,""bluetooth"":true,""wheel-configuration1"":true,""immo"":true,""light-interior"":true,""windscreen-heat"":true,""12v-socket"":true}",бензин,https://avatars.mds.yandex.net/get-autoru-vos/2087465/5f959c6b467b1dc0e29b2a7cdecf1fa8/320x240,:197000,2002.0,"{""code"":""ELEMENT"",""name"":""Element"",""ru_name"":""Элемент"",""morphology"":{}",ELEMENT,2.4 AT (162 л.с.) 4WD,5.0,1607849943.0,465000.0,RUB,2003,1101146022,"{""id"":""4721239"",""name"":""I"",""ru_name"":""1"",""year_from"":2002,""year_to"":2006,""price_segment"":""MEDIUM""}",ALLROAD_5_DOORS AUTOMATIC 2.4,автоматическая,JAPANESE,3 или более,,Оригинал,полный,Левый,Не требует ремонта,Растаможен
седан,HONDA,https://auto.ru/cars/used/sale/honda/accord/1101700470-60ffd1c6/,красный,"{""id"":""0""}","ПТС оригинал, в ДТП не участвовала.

。S-Type
。Преднатяжители ремней безопасности
。Крепление для детского сиденья ISOFIX
。Система контроля давления в шинах
。Кожаный руль
。Комбинированная обивка салона
。Пакет светильников в салоне
。Сервотроник
。Обогрев боковых зеркал
。Обогрев лобового стекла
。Атермальное остекление
。8 и более динамиков

☛ Все заявленные автомобили находятся в наличии.
☛ Два комплекта ключей.

Цена действительна при соблюдении ряда условий.

☛ Выгода по программе Trade-In до 50 тысяч рублей.
☛ Выгода в кредит до 100 тысяч рублей.



▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼

                       Условия при покупке автомобиля в кредит:

➥ Ставка от 4.9% годовых;
➥ Первоначальный взнос от 0%;
➥ Оформление по двум документам;
➥ Срок кредитования от 6 месяцев до 7 лет;
➥ Без оформления КАСКО;

● При покупке автомобиля каждый клиент получает подарок на выбор: 

   ✔ Комплект резины.
   ✔ Полное комплексное ТО. 
   ✔ Страховой полис ОСАГО сроком на 3 месяца.

● Приглашаем на бесплатный тест-драйв! Подробную информацию можно получить у специалистов автоцентра по телефону.
● Мы работаем до последнего клиента.",2.4 LTR,190 N12,"{""engine-proof"":true,""cruise-control"":true,""asr"":true,""tinted-glass"":true,""esp"":true,""airbag-driver"":true,""aux"":true,""usb"":true,""isofix"":true,""electro-window-front"":true,""light-sensor"":true,""multi-wheel"":true,""heated-wash-system"":true,""ashtray-and-cigarette-lighter"":true,""airbag-passenger"":true,""front-centre-armrest"":true,""computer"":true,""bas"":true,""isofix-front"":true,""wheel-power"":true,""alarm"":true,""lock"":true,""light-cleaner"":true,""electro-mirrors"":true,""electro-window-back"":true,""alloy-wheel-disks"":true,""ptf"":true,""16-inch-wheels"":true,""leather-gear-stick"":true,""rain-sensor"":true,""tyre-pressure"":true,""mirrors-heat"":true,""audiosystem-cd"":true,""dark-interior"":true,""combo-interior"":true,""cooling-box"":true,""abs"":true,""led-lights"":true,""power-child-locks-rear-doors"":true,""front-seats-heat"":true,""wheel-leather"":true,""wheel-configuration2"":true,""wheel-configuration1"":true,""climate-control-2"":true,""windscreen-heat"":true,""auto-mirrors"":true,""park-assist-r"":true}",бензин,https://avatars.mds.yandex.net/get-autoru-vos/2001963/1b7715baa7e6147fb6451eb96e013089/320x240,:118521,2005.0,"{""code"":""ACCORD"",""name"":""Accord"",""ru_name"":""Аккорд"",""morphology"":{}",ACCORD,Type S 2.4 AT (190 л.с.),4.0,1607849943.0,499000.0,RUB,2007,1101700470,"{""id"":""6306860"",""name"":""VII Рестайлинг"",""ru_name"":""7 Рестайлинг"",""year_from"":2005,""year_to"":2008,""price_segment"":""MEDIUM""}",SEDAN AUTOMATIC 2.4,автоматическая,JAPANESE,3 или более,,Оригинал,передний,Левый,Не требует ремонта,Растаможен
внедорожник 5 дв.,HONDA,https://auto.ru/cars/used/sale/honda/pilot/1101877205-1e1a4a25/,чёрный,"{""id"":""7846911"",""name"":""Elegance"",""available_options"":[""cruise-control"",""multi-wheel"",""airbag-passenger"",""lock"",""electro-mirrors"",""mirrors-heat"",""computer"",""seat-transformation"",""wheel-power"",""light-cleaner"",""fabric-seats"",""airbag-side"",""abs"",""wheel-leather"",""climate-control-1"",""esp"",""audiopreparation"",""electro-window-back"",""17-inch-wheels"",""body-mouldings"",""rear-seats-heat"",""condition"",""music-super"",""airbag-driver"",""isofix"",""electro-window-front"",""light-sensor"",""hcc"",""airbag-curtain"",""alarm"",""ptf"",""audiosystem-cd"",""front-seats-heat"",""wheel-configuration2"",""wheel-configuration1"",""immo""],""vendor_colors"":[{""body_color_id"":20617673,""mark_color_id"":21388468,""name_ru"":""Crystal Black"",""hex_codes"":[""050305""],""color_type"":""PEARL"",""stock_color"":{""hex_code"":""040001"",""name_ru"":""черный""}",Своевременное обслуживание. Пройдены все ТО. Сервисная книжка. Не участвовала в ДТП. Комплект летних колес в подарок.,3.5 LTR,249 N12,"{""cruise-control"":true,""esp"":true,""airbag-driver"":true,""isofix"":true,""electro-window-front"":true,""light-sensor"":true,""multi-wheel"":true,""hcc"":true,""airbag-curtain"":true,""airbag-passenger"":true,""computer"":true,""seat-transformation"":true,""wheel-power"":true,""alarm"":true,""lock"":true,""light-cleaner"":true,""fabric-seats"":true,""electro-mirrors"":true,""electro-window-back"":true,""ptf"":true,""airbag-side"":true,""mirrors-heat"":true,""17-inch-wheels"":true,""body-mouldings"":true,""rear-seats-heat"":true,""abs"":true,""front-seats-heat"":true,""wheel-leather"":true,""wheel-configuration2"":true,""wheel-configuration1"":true,""immo"":true,""climate-control-1"":true,""music-super"":true}",бензин,https://avatars.mds.yandex.net/get-autoru-vos/4473469/83d956bdbc94a783b50fcce8c6d58530/320x240,:216000,2011.0,"{""code"":""PILOT"",""name"":""Pilot"",""ru_name"":""Пилот"",""morphology"":{}",PILOT,3.5 AT (249 л.с.) 4WD,5.0,1607849944.0,1350000.0,RUB,2012,1101877205,"{""id"":""7846890"",""name"":""II Рестайлинг"",""ru_name"":""2 Рестайлинг"",""year_from"":2011,""year_to"":2015,""price_segment"":""PREMIUM""}",ALLROAD_5_DOORS AUTOMATIC 3.5,автоматическая,JAPANESE,1 владелец,7 лет и 9 месяцев,Оригинал,полный,Левый,Не требует ремонта,Растаможен
внедорожник 5 дв.,HONDA,https://auto.ru/cars/used/sale/honda/cr_v/1101706858-857a6fa2/,чёрный,"{""id"":""0""}","Оригинал ПТС, По факту один владелец, сейчас авто зарегистрирован в ГИБДД на ООО ПАНАВТО, Два ключа


Панавто – официальный дилер «Мерседес-Бенц».
Один из крупнейших дилерских центров Европы!

Для Вас действуют:

- Онлайн-покупка автомобиля, не выходя из дома.

- Бесконтактная доставка.

- Оценка Вашего автомобиля.

- Преимущества при трейд-ин.
- Уникальные условия и специальные предложения.
- Программы кредитования подержанных автомобилей.

Компания Панавто осуществляет
прием автомобилей с пробегом любых марок и моделей вне зависимости от года
выпуска, пробега или состояния!
- Профессиональная оценка.

- Юридическая чистота сделки.

- Безналичный перевод денег на Ваш расчётный счёт.

Мы просто хотим купить у Вас автомобиль, не создавая при этом лишних проблем!

#cme41-Z61409
Обогрев зеркал
 Электрозеркала
 Электростеклоподъемники
 Легкосплавные диски
 АКПП
 Полный привод
 Усилитель руля
 Бензин
 Климатконтроль
 Обогрев сидений
 Центральный замок",2.0 LTR,150 N12,"{""alloy-wheel-disks"":true,""front-seats-heat"":true,""mirrors-heat"":true,""wheel-power"":true,""electro-window-front"":true,""lock"":true,""climate-control-1"":true,""electro-mirrors"":true}",бензин,https://avatars.mds.yandex.net/get-autoru-vos/2155467/2d180c482d4317abd9844df86d0aff33/320x240,:88539,2012.0,"{""code"":""CR_V"",""name"":""CR-V"",""ru_name"":""CR-V"",""morphology"":{""gender"":""FEMININE""}",CR_V,2.0 AT (150 л.с.) 4WD,5.0,1607849946.0,1299000.0,RUB,2013,1101706858,"{""id"":""8510730"",""name"":""IV"",""ru_name"":""4"",""year_from"":2012,""year_to"":2015,""price_segment"":""MEDIUM""}",ALLROAD_5_DOORS AUTOMATIC 2.0,автоматическая,JAPANESE,1 владелец,,Оригинал,полный,Левый,Не требует ремонта,Растаможен
внедорожник 5 дв.,HONDA,https://auto.ru/cars/used/sale/honda/cr_v/1101582067-110e57c0/,чёрный,"{""id"":""0""}","ПТС оригинал, 2 владельца, в ДТП не участвовала.

。Крепление для детского сиденья ISOFIX
。Люк с электроприводом 
。Кожаный руль и ручка КПП
。Кожаная обивка салона
。Автоматически затемняющееся внутреннее зеркало заднего вида
。Обогрев боковых зеркал
。Датчики парковки спереди и сзади
。CD-чейнджер
。Поддержка MP3
。6 динамиков
。Сабвуфер
。Разъем для подключения внешнего аудиоустройства
。2 комплекта ключей

☛ Все заявленные автомобили находятся в наличии.
☛ Два комплекта ключей.

Цена действительна при соблюдении ряда условий.

☛ Выгода по программе Trade-In до 50 тысяч рублей.
☛ Выгода в кредит до 100 тысяч рублей.



▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼

                       Условия при покупке автомобиля в кредит:

➥ Ставка от 4.9% годовых;
➥ Первоначальный взнос от 0%;
➥ Оформление по двум документам;
➥ Срок кредитования от 6 месяцев до 7 лет;
➥ Без оформления КАСКО;

● При покупке автомобиля каждый клиент получает подарок на выбор: 

   ✔ Комплект резины.
   ✔ Полное комплексное ТО. 
   ✔ Страховой полис ОСАГО сроком на 3 месяца.

● Приглашаем на бесплатный тест-драйв! Подробную информацию можно получить у специалистов автоцентра по телефону.
● Мы работаем до последнего клиента.",2.4 LTR,166 N12,"{""cruise-control"":true,""asr"":true,""tinted-glass"":true,""esp"":true,""usb"":true,""multi-wheel"":true,""heated-wash-system"":true,""ashtray-and-cigarette-lighter"":true,""airbag-passenger"":true,""front-centre-armrest"":true,""bas"":true,""isofix-front"":true,""lock"":true,""electro-mirrors"":true,""electro-window-back"":true,""18-inch-wheels"":true,""mirrors-heat"":true,""hatch"":true,""park-assist-f"":true,""dark-interior"":true,""cooling-box"":true,""leather"":true,""led-lights"":true,""park-assist-r"":true,""engine-proof"":true,""airbag-driver"":true,""aux"":true,""isofix"":true,""electro-window-front"":true,""light-sensor"":true,""hcc"":true,""computer"":true,""wheel-power"":true,""alarm"":true,""passenger-seat-electric"":true,""light-cleaner"":true,""alloy-wheel-disks"":true,""ptf"":true,""leather-gear-stick"":true,""rain-sensor"":true,""airbag-side"":true,""tyre-pressure"":true,""audiosystem-cd"":true,""abs"":true,""bluetooth"":true,""power-child-locks-rear-doors"":true,""front-seats-heat"":true,""wheel-leather"":true,""wheel-configuration2"":true,""wheel-configuration1"":true,""climate-control-2"":true,""windscreen-heat"":true,""auto-mirrors"":true}",бензин,https://avatars.mds.yandex.net/get-autoru-vos/2057783/8367de00bd4b013265c1d1ba22a3984a/320x240,:93500,2009.0,"{""code"":""CR_V"",""name"":""CR-V"",""ru_name"":""CR-V"",""morphology"":{""gender"":""FEMININE""}",CR_V,2.4 AT (166 л.с.) 4WD,5.0,1607849947.0,1129000.0,RUB,2012,1101582067,"{""id"":""6312880"",""name"":""III Рестайлинг"",""ru_name"":""3 Рестайлинг"",""year_from"":2009,""year_to"":2012,""price_segment"":""MEDIUM""}",ALLROAD_5_DOORS AUTOMATIC 2.4,автоматическая,JAPANESE,2 владельца,,Оригинал,полный,Левый,Не требует ремонта,Растаможен
внедорожник 5 дв.,HONDA,https://auto.ru/cars/used/sale/honda/cr_v/1101880599-f6807822/,коричневый,"{""id"":""0""}","Автомобиль HONDA CR-V  2011 года выпуска с пробегом 77 000 км .
На автомобиле выполнена полная техническая диагностика по 116 пунктам, проверка ЛКП кузова проведена специалистами, сертифицированными автопроизводителем.
Автомобиль прошел предпродажную подготовку.
Дополнительная скидка и выгодные условия на кредит при обмене на ваш автомобиль! Звоните для расчета выгоды!!!
Подбор комфортного и выгодного кредита.
Зачет стоимости вашего автомобиля в качестве первоначального взноса.


Комплектация автомобиля:

• штатная аудиоподготовка
• AUX
• штатная аудиосистема с CD
• количество мест: 5
• комбинированный салон
• бортовой компьютер
• обогрев сидений
• круиз-контроль
• темный салон
• усилитель руля
• электростеклоподъемники все
• климат-контроль
• ABS
• 4 подушки безопасности
• парктроник
• электроскладывание зеркал
• обогрев зеркал
• противотуманные фары
• омыватель фар
• датчик дождя
• датчик света
• электропривод зеркал
• рейлинги на крыше
• легкосплавные диски
• центральный замок
• штатный иммобилайзер

#cme81-140200062619

Продажа а/м осуществляется ОФИЦИАЛЬНЫМ ДИЛЕРОМ ""АВТОРУСЬ"".
В наличии более 200 проверенных и готовых к продаже автомобилей

· Автомобиль доступен к просмотру в крытом и хорошо освещенном помещении
· Автомобиль прошел ТЕХНИЧЕСКУЮ И ЮРИДИЧЕСКУЮ ПРОВЕРКУ
· Возможна ПОКУПКА В КРЕДИТ по специальной ставке от 9,9%
· ВЫГОДА при покупке а/м в кредит – до 25 000 р.
· ВЫГОДА при обмене на Ваш а/м – до 50 000 р.
· СРОЧНЫЙ ВЫКУП авто, выплата в день обращения.

Ждём вас ежедневно, с 9:00 до 21:00",2.4 LTR,166 N12,"{""cruise-control"":true,""aux"":true,""electro-window-front"":true,""light-sensor"":true,""computer"":true,""roof-rails"":true,""wheel-power"":true,""lock"":true,""light-cleaner"":true,""electro-mirrors"":true,""electro-window-back"":true,""alloy-wheel-disks"":true,""ptf"":true,""rain-sensor"":true,""airbag-side"":true,""mirrors-heat"":true,""dark-interior"":true,""audiosystem-cd"":true,""combo-interior"":true,""abs"":true,""front-seats-heat"":true,""immo"":true,""climate-control-1"":true,""auto-mirrors"":true,""park-assist-r"":true}",бензин,https://avatars.mds.yandex.net/get-autoru-vos/3934078/643420d463692383047472e30494325d/320x240,:77000,2009.0,"{""code"":""CR_V"",""name"":""CR-V"",""ru_name"":""CR-V"",""morphology"":{""gender"":""FEMININE""}",CR_V,2.4 AT (166 л.с.) 4WD,5.0,1607849947.0,1197000.0,RUB,2011,1101880599,"{""id"":""6312880"",""name"":""III Рестайлинг"",""ru_name"":""3 Рестайлинг"",""year_from"":2009,""year_to"":2012,""price_segment"":""MEDIUM""}",ALLROAD_5_DOORS AUTOMATIC 2.4,автоматическая,JAPANESE,1 владелец,,Оригинал,полный,Левый,Не требует ремонта,Растаможен
